"route_id","service_id","trip_id","trip_headsign","trip_short_name","direction_id","block_id","shape_id","jp_trip_desc","jp_trip_desc_symbol","jp_office_id","wheelchair_accessible"
"1_163_20251229","5_672_20251231","1_672_6301_1_102112_20251229","三原駅",,"0",,,,,"5",
"1_163_20251229","5_672_20251231","1_672_6301_1_102113_20251229","三原駅",,"0",,,,,"5",
"1_163_20251229","5_691_20251231","1_691_6301_1_102112_20251229","三原駅",,"0",,,,,"5",
"1_163_20251229","5_691_20251231","1_691_6301_1_102113_20251229","三原駅",,"0",,,,,"5",
"1_163_20251229","5_668_20251231","1_668_6302_2_102101_20251229","如水館前",,"1",,,,,"5",
"1_163_20251229","5_668_20251231","1_668_6302_2_102102_20251229","如水館前",,"1",,,,,"5",
"1_163_20251229","5_669_20251231","1_669_6302_2_102101_20251229","如水館前",,"1",,,,,"5",
"1_163_20251229","5_669_20251231","1_669_6302_2_102102_20251229","如水館前",,"1",,,,,"5",
"1_163_20251229","5_670_20251231","1_670_6302_2_102105_20251229","如水館前",,"1",,,,,"5",
"1_163_20251229","5_671_20251231","1_671_6302_2_102105_20251229","如水館前",,"1",,,,,"5",
"1_163_20251229","5_672_20251231","1_672_6302_2_102106_20251229","如水館前",,"1",,,,,"5",
"1_163_20251229","5_691_20251231","1_691_6302_2_102106_20251229","如水館前",,"1",,,,,"5",
"1_163_20251229","5_668_20251231","1_668_6401_1_102118_20251229","三原駅",,"0",,,,,"5",
"1_163_20251229","5_669_20251231","1_669_6401_1_102118_20251229","三原駅",,"0",,,,,"5",
"1_163_20251229","5_670_20251231","1_670_6401_1_102119_20251229","三原駅",,"0",,,,,"5",
"1_163_20251229","5_671_20251231","1_671_6401_1_102119_20251229","三原駅",,"0",,,,,"5",
"1_163_20251229","5_672_20251231","1_672_6401_1_102120_20251229","三原駅",,"0",,,,,"5",
"1_163_20251229","5_691_20251231","1_691_6401_1_102120_20251229","三原駅",,"0",,,,,"5",
"1_163_20251229","5_668_20251231","1_668_6402_2_102115_20251229","如水館前",,"1",,,,,"5",
"1_163_20251229","5_669_20251231","1_669_6402_2_102115_20251229","如水館前",,"1",,,,,"5",
"1_163_20251229","5_670_20251231","1_670_6402_2_102116_20251229","如水館前",,"1",,,,,"5",
"1_163_20251229","5_671_20251231","1_671_6402_2_102116_20251229","如水館前",,"1",,,,,"5",
"1_163_20251229","5_672_20251231","1_672_6402_2_102117_20251229","如水館前",,"1",,,,,"5",
"1_163_20251229","5_691_20251231","1_691_6402_2_102117_20251229","如水館前",,"1",,,,,"5",
"3_131_20251231","1_655_20251231","3_655_233_1_2781_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2782_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2783_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2784_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2785_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2788_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2790_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2791_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2792_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2796_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2800_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2803_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2805_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2802_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2811_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2812_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2814_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2815_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2817_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2818_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_5507_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2820_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2821_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2823_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2824_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2826_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2829_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_655_20251231","3_655_233_1_2831_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_2833_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_2836_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_2839_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_2840_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_5752_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_2842_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_2844_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_2845_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_2848_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_2850_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_2846_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_2853_20251231","福山駅前",,"0",,,,,"1",
"3_131_20251231","1_656_20251231","3_656_233_1_2854_20251231","福山駅前",,"0",,,,,"1",
